mm,SrCa,,
3,8.802510491,,
4,8.787619704,,
6,8.828329885,,
7,8.788000069,,
8,8.839500151,,
9,8.89888766,,
10,9.03804546,,
11,9.168047384,,
12,9.232911991,,
13,8.953068983,,
14,8.949197624,,
15,8.917877649,,
16,8.899731279,,
17,8.880768128,,
18,8.892761694,,
19,8.885746761,,
20,8.955049179,,
21,9.070997571,,
22,9.144019335,,
23,9.100534542,,
24,9.031220472,,
25,8.973728777,,
26,8.920543861,,
27,8.861231218,,
28,8.905733046,,
29,8.915548245,,
30,8.918144468,,
31,8.895931812,,
32,8.997256489,,
33,9.078245406,,
34,9.036980496,,
35,9.020375009,,
36,9.00319617,,
37,8.932015384,,
38,8.900613336,,
39,8.896490053,,
40,8.910590444,,
41,8.955567398,,
42,9.094050888,,
43,9.117687525,,
44,9.092017994,,
45,8.929783076,,
46,8.908948075,,
47,8.854138622,,
48,8.873644369,,
50,9.02812301,,
51,9.110559566,,
52,9.176214352,,
53,9.292224975,,
54,9.243053011,,49
55,8.966471279,,
56,8.88334906,,
57,8.900360394,,
58,8.905302748,,
59,8.917029795,,
60,8.88158728,,
61,8.967373149,,
62,9.091789759,,
63,9.011361295,,
64,8.964427426,,
65,8.881334257,,
66,8.902262049,,
67,8.856585529,,
68,8.871065078,,
69,8.92127143,,
70,8.929350705,,
71,8.936233543,,
72,9.007359632,,
73,9.142297353,,
74,9.098673696,,
75,9.051697955,,
76,8.94128596,,
77,8.901214227,,
78,8.880967276,,
80,8.90699938,,
81,8.912584937,,
82,9.001402246,,
83,9.017861198,,79
84,9.08248985,,
85,9.139537987,,
86,9.082130097,,
87,8.987185458,,
88,8.870067398,,
89,8.885099517,,
90,8.855052976,,
91,8.868690707,,
92,8.907961691,,
93,9.045726759,,
94,9.13816211,,
95,9.159032302,,
96,9.006620988,,
97,8.984198126,,
99,8.867235497,,
100,8.835671275,,
101,8.848373215,,
102,8.824080388,,98
103,8.855660234,,
104,8.824872109,,
105,8.966847746,,
106,8.935614194,,
107,9.022276413,,
108,9.1083432,,
109,9.201307142,,
110,9.166623377,,
111,8.99402461,,
112,8.895962396,,
113,8.859937561,,
114,8.893126119,,
115,8.855538625,,
116,8.88509212,,
117,8.898685535,,
118,8.953560366,,
119,8.987539918,,
120,9.087793165,,
121,9.007454525,,
122,8.934483359,,
123,8.920281626,,
124,8.919766164,,
125,8.976535925,,
126,8.911547004,,
127,8.923742703,,
128,9.099337878,,
129,9.161838496,,
130,9.171165598,,
131,9.196248593,,
132,9.117608931,,
133,8.914011421,,
134,8.926044516,,
135,8.876581834,,
136,8.98041529,,
137,9.076381635,,
138,8.959953473,,
139,8.86825184,,
140,8.863124047,,
141,8.883031726,,
142,8.867560394,,
143,8.975096938,,
144,9.036881049,,
145,8.950694328,,
146,8.900019703,,
147,8.906282386,,
148,8.874856964,,
149,8.825502594,,
150,8.986420534,,
151,9.116764815,,
154,8.871676094,,
155,8.849880275,,152
156,8.86544782,,153
157,8.950843421,,
158,9.068563496,,
159,9.026392766,,
160,8.966361381,,
161,8.921934809,,
162,8.901213523,,
163,8.951031913,,
164,8.929999983,,
165,8.90569471,,
166,8.966072696,,
167,9.041462363,,
168,9.057821089,,
169,9.053338132,,
170,9.078219798,,
171,8.982845098,,
172,8.907400805,,
173,8.925821251,,
174,9.003250385,,
175,8.977569585,,
176,9.236998626,,
177,9.529073374,,