Depth_point,SrCa,Date
170,9.07822,2/1/2024
158,9.06856,2/1/2023
151,9.11676,2/1/2022
144,9.03688,3/1/2021
137,9.07638,2/1/2020
131,9.196248,3/1/2019
120,9.08779,1/1/2018
109,9.2013,2/1/2017
95,9.159,1/1/2016
85,9.139538,2/1/2015
73,9.142297,2/1/2014
62,9.09179,2/1/2013
53,9.292225,2/1/2012
43,9.117687,3/1/2011
33,9.07824,1/1/2010
22,9.144019,1/1/2009
12,9.2329,2/1/2008
172,8.9074,8/1/2024
165,8.9012,8/1/2023
155,8.84988,9/1/2022
149,8.8255,8/1/2021
142,8.8631,9/1/2020
135,8.87658,8/1/2019
126,8.911547,8/1/2018
115,8.85554,7/1/2017
102,8.82408,8/1/2016
90,8.85505,10/1/2015
78,8.880967,8/1/2014
67,8.8565855,8/1/2013
56,8.88335,8/1/2012
47,8.8541,9/1/2011
39,8.8965,8/1/2010
27,8.8612,8/1/2009
17,8.88077,8/1/2008
7,8.7876,8/1/2007