month,d18O_MSUD_anomaly,d18O_SMII_anomaly,sss_anomaly
2014-02,-0.1671357808181817,-0.2961818181818185,0.3696422727272761
2014-03,-0.2779935897999999,-0.3349666669999998,0.2595649000000009
2014-04,-0.2547730769000003,-0.3353499996,0.3781150000000011
2014-05,-0.1221474359999996,-0.3105249999999997,0.0038740999999973
2014-06,-0.1979769233999997,-0.1750666666999993,-0.029979499999996
2014-07,-0.1270884616999996,0.0734249995999993,0.0239490000000017
2014-08,-0.0397721445454539,0.4288999999999996,-0.0835849999999993
2014-09,-0.0263852565000002,0.3172666664000001,-0.5229645000000005
2014-10,-0.0034850424444443,0.1780999999000005,-0.0479971000000034
2014-11,0.1240794870999995,-0.0432999999999998,-0.0249825000000001
2014-12,0.3543247860000007,-0.1467666669999996,0.2462994999999992
2015-01,0.2328987178999999,-0.2664583331000001,-0.1079384000000018
2015-02,0.3078642191818184,-0.3301818181818188,-0.0913417272727272
2015-03,-0.0510769228,-0.3029666669999997,0.0840718999999978
2015-04,-0.1742730769,-0.1190166666000003,-0.0593730000000007
2015-05,-0.1588974359999997,-0.0480249999999995,-0.0214749000000011
2015-06,-0.0473102563999994,-0.0777333336999994,-0.0197214999999957
2015-07,-0.0436717946999998,0.0072583335999993,-0.0798419999999993
2015-08,0.016227855454546,-0.0731000000000001,0.1553630000000012
2015-09,0.0691147434999996,0.0547666663999999,0.3644814999999965
2015-10,0.1265149575555559,-0.1599000000999995,0.0753408999999933
2015-11,0.1838294870999997,0.0392000000000001,-0.049251500000004
2015-12,0.1886581200000003,0.082233333,0.1787165000000001
2016-01,0.1093153848999999,-0.0194583331000002,0.0197475999999952
2016-02,0.2128642191818186,-0.0421818181818185,-0.3385547272727223
2016-03,0.2175064101999999,-0.1482999999999994,-0.2257691000000008
2016-04,0.2602269230999998,-0.4260166665999998,0.3366060000000033
2016-05,0.174852564,-0.279525,-0.2465139000000036
2016-06,0.0196897436000007,-0.1880666666999992,-0.1712294999999954
2016-07,0.0218282053000002,-0.2249083334000001,-0.3121259999999992
2016-08,0.04460285545454585,-0.2411000000000003,-0.4461099999999973
2016-09,0.0286147434999999,-0.1880666666000001,-0.4796455000000037
2016-10,0.187598290555556,-0.2879000000999996,-0.1841401000000075
2016-11,0.3173294870999994,-0.1882999999999999,0.2042324999999962
2016-12,0.3669914530000007,-0.1730999999999998,0.0917464999999992
2017-01,0.2856487178999995,0.0428749998999995,-0.0593624000000048
2017-02,0.0499411421818183,0.0178181818181815,0.0558772727272725
2017-03,-0.2254743588000001,0.2598666670000003,0.2488838999999956
2017-04,-0.2480423079,0.3829833333999999,0.1452179999999998
2017-05,-0.2778589739999995,0.3274750000000002,0.0949580999999994
2017-06,-0.1965410253999993,0.3126000003000002,0.1801465000000064
2017-07,-0.1792871797000002,0.2032583335999995,-0.0043620000000004
2017-08,-0.1596952215454541,-0.1511000000000004,0.0544980000000023
2017-09,-0.2336160254999999,-0.2075666666,-0.0062035000000051
2017-10,-0.1855363244444441,-0.2862333330999993,0.2355778999999955
2017-11,-0.1431320509000002,-0.3342999999999998,0.1292164999999983
2017-12,-0.0109316239999994,-0.2944333329999997,-0.304063499999998
2018-01,0.0884948718999996,-0.2739583331000004,0.1720696000000003
2018-02,0.1378642191818184,-0.0341818181818185,0.2964212727272723
2018-03,0.0804230771999998,0.1399500000000002,0.0539868999999981
2018-04,-0.0001064098999998,0.2329833334,0.3393390000000025
2018-05,0.0248525640000001,0.2552250000000002,0.1185540999999972
2018-06,0.1170230766000006,0.1179333333000003,0.4150255000000058
2018-07,0.0360782052999999,0.2020916665999994,0.502124000000002
2018-08,-0.1127721445454543,0.3273999999999994,0.1670939999999987
2018-09,-0.1244685895000001,0.4816833334000003,0.3591204999999959
2018-10,0.0448482905555556,0.6780999999000006,0.2116578999999916
2018-11,0.0795794870999997,0.6864500000000002,0.3102044999999975
2018-12,0.0653247860000005,0.5419,0.1509815000000003
2019-01,0.0665653848999996,0.3591249998999997,-0.1676673999999991
2019-02,0.0968642191818185,0.2698181818181813,-0.0597077272727233
2019-03,-0.0944102567999998,0.1840333330000003,-0.3240951000000009
2019-04,0.1620602560999997,0.1168166664000001,0.1161650000000023
2019-05,0.0888525640000001,0.0927250000000001,0.3622291000000004
2019-06,0.1596897436000004,0.0299333333000006,-0.0554454999999975
2019-07,0.1841615383000001,-0.0181583334000006,0.3935719999999989
2019-08,0.1802278554545457,-0.0061000000000008,0.3137830000000008
2019-09,0.1942814104999999,-0.0152333335999994,0.1026765000000011
2019-10,0.299181623555556,0.0527666669000006,-0.0169951000000025
2019-11,0.3623294870999998,0.1089500000000001,-0.2826374999999999
2019-12,,0.2367333330000001,-0.2935374999999993
2020-01,0.1104820508999995,0.1490416668999996,-0.2518414000000035
2020-02,0.0389475521818183,0.0628181818181814,-0.307077727272727
2020-03,0.1657564102000002,0.0161166670000003,-0.263766099999998
2020-04,0.0177269231000001,-0.0141833336000001,-0.2066829999999981
2020-05,-0.2373974359999997,-0.0067749999999997,-0.203259899999999
2020-06,0.0516897436000003,-0.0147333336999997,-0.3168244999999956
2020-07,-0.0206717947000001,0.0095083335999994,-0.3441359999999989
2020-08,0.0572278554545455,-0.1291000000000002,-0.1973210000000023
2020-09,0.4406147434999998,-0.3000666666000002,0.1709414999999978
2020-10,-0.0961517094444444,-0.2379000000999998,0.0888958999999971
2020-11,-0.3166705129,-0.2175500000000001,-0.3139625000000023
2020-12,-0.5500085469999991,-0.1655999999999999,-0.0893094999999988
2021-01,-0.6583512820999999,-0.1078750001000004,0.019653599999998
2021-02,-0.6741357808181814,0.0398181818181813,-0.2055157272727257
2021-03,-0.1612435898000002,-0.2272999999999996,0.3042759000000004
2021-04,-0.1716064098999998,-0.2546833336,-0.2891550000000009
2021-05,-0.0757307689999997,-0.3715249999999996,-0.0376179000000007
2021-06,0.1666897436000005,-0.2473999996999998,0.0676835000000011
2021-07,0.1386615383,0.0194249995999991,-0.1864470000000011
2021-08,0.0298945224545459,0.1618999999999992,0.1193400000000011
2021-09,-0.1703852565000003,0.1539333334000003,-0.0133255000000005
2021-10,-0.1608183764444439,0.1587666669000005,-0.2253161000000076
2021-11,-0.1870038459000005,0.2147000000000001,-0.2132705000000001
2021-12,-0.2680085469999995,0.1895666670000002,2.950000000367936e-05
2022-01,-0.1813512821,0.2392083328999996,0.0827215999999992
2022-02,-0.0348024478181816,0.2548181818181811,0.020807272727275
2022-03,0.2317564102,0.2391166670000002,-0.1398121000000003
2022-04,0.2520602561,0.1369833333999999,-0.4820659999999961
2022-05,0.2859358975000001,0.098475,-0.158547900000002
2022-06,0.1713564106000005,0.0586000003000002,0.0801695000000037
2022-07,0.0126615382999997,-0.1417416664000006,0.0108899999999962
2022-08,-0.1477721445454545,-0.1091000000000006,-0.2399690000000021
2022-09,-0.1493852565000004,-0.0586499996,-0.1819194999999993
2022-10,-0.2121517094444445,-0.0589000000999995,-0.2189671000000075
2022-11,-0.3726705129000001,-0.0842999999999998,-0.0158995000000032
2022-12,-0.1203418799999993,-0.130433333,-0.364478499999997
2023-01,-0.0493512821000003,0.0223749998999998,0.2107615999999978
2023-02,0.0128642191818184,-0.0481818181818187,0.0495902727272721
2023-03,0.1147564102,0.1744500000000002,0.0026589000000001
2023-04,0.1567269230999999,0.2794833334,-0.2781659999999988
2023-05,0.0116025639999999,0.2424750000000002,0.087799099999998
2023-06,-0.2443102563999994,0.1839333333000006,-0.149824499999994
2023-07,-0.0226717946999999,-0.1301583334000007,-0.003622
2023-08,0.0872278554545458,-0.2086000000000005,0.1569069999999968
2023-09,-0.0283852565,-0.2380666665999999,0.2068384999999963
2023-10,,-0.0369000000999997,0.0819428999999942
2023-11,-0.0476705129000003,-0.1815500000000001,0.2563504999999964
2023-12,-0.0260085469999995,-0.1400999999999999,0.3836154999999976
2024-01,-0.0043512821000004,-0.1448750001000003,0.0818555999999972
2024-02,0.0188642191818182,0.1058181818181815,0.2098592727272716
